[2016-08-05T13:11:34+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-05T13:11:35+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-05T14:15:33+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-05T14:15:33+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-05T18:45:30+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T18:45:30+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-05T23:28:04+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-05T23:28:04+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-06T00:01:20+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-06T00:01:20+0300] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: ee1750ed7d; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
